고객ID,연령,성별,지역명,거주시군구명,법정동명,소득
0,76,남성,부산,기장군,정관읍,2000만원 이하
1,80,여성,경기,안양시 만안구,안양동,2000~3000만원
2,38,남성,전남,보성군,보성읍,5000만원이상
3,25,여성,서울,영등포구,여의도동,3000~4000만원
4,33,여성,서울,강서구,방화동,2000~3000만원
5,68,남성,부산,연제구,연산동,5000만원이상
6,38,남성,강원,강릉시,노암동,4000~5000만원
7,58,남성,울산,남구,신정동,2000~3000만원
8,70,여성,경남,진주시,상대동,3000~4000만원
9,35,여성,경남,남해군,남면,5000만원이상
10,61,남성,경기,수원시 팔달구,지동,2000~3000만원
11,75,여성,경기,부천시,중동,3000~4000만원
12,71,여성,경기,용인시 기흥구,공세동,5000만원이상
13,19,남성,부산,부산진구,당감동,4000~5000만원
14,32,여성,서울,강서구,내발산동,2000만원 이하
15,67,여성,경기,고양시 일산동,마두동,5000만원이상
16,79,남성,부산,금정구,서동,2000만원 이하
17,48,남성,경남,창원시 마산합,월남동2가,2000만원 이하
18,45,남성,강원,홍천군,홍천읍,2000만원 이하
19,50,여성,강원,춘천시,석사동,4000~5000만원
20,44,여성,경기,성남시 중원구,은행동,2000~3000만원
21,69,남성,경남,창원시 진해구,청안동,4000~5000만원
22,43,여성,부산,서구,서대신동3가,5000만원이상
23,69,남성,서울,성동구,금호동1가,5000만원이상
24,44,남성,경기,이천시,호법면,2000~3000만원
25,38,남성,서울,송파구,방이동,2000~3000만원
26,69,여성,경남,창원시 의창구,봉곡동,5000만원이상
27,53,남성,인천,남구,주안동,4000~5000만원
28,62,여성,서울,서초구,반포동,4000~5000만원
29,62,여성,경기,안양시 동안구,비산동,5000만원이상
30,57,여성,경북,칠곡군,북삼읍,5000만원이상
31,39,여성,경남,거제시,고현동,5000만원이상
32,60,여성,대구,수성구,신매동,4000~5000만원
33,37,남성,경남,창원시 진해구,풍호동,4000~5000만원
34,60,여성,경남,창원시 의창구,팔용동,2000~3000만원
35,47,남성,울산,남구,신정동,2000~3000만원
36,57,남성,광주,광산구,오선동,5000만원이상
37,45,여성,경북,영덕군,영덕읍,2000만원 이하
38,59,여성,충북,청주시 청원구,오창읍,2000~3000만원
39,43,여성,경기,안양시 동안구,평촌동,2000~3000만원
40,28,여성,충남,태안군,안면읍,3000~4000만원
41,59,남성,강원,동해시,이로동,2000~3000만원
42,27,여성,서울,강남구,청담동,2000~3000만원
43,36,여성,경남,통영시,도천동,3000~4000만원
44,33,여성,대구,북구,복현동,4000~5000만원
45,29,남성,경북,포항시 북구,두호동,4000~5000만원
